hotel_id,name,price,city
246,Riad Tingis,None,Tangier
247,Hotel Fuentes,317,Tangier
248,Malabata Guest House,873,Tangier
249,Dar Chams Tanja,1660,Tangier
250,SBN Suite Hôtel,1638,Tangier
251,Dar Yasmine,724,Tangier
252,Riad Arous Chamel,None,Tangier
253,Tangier Kasbah Hostel,377,Tangier
254,Hotel Atlal,None,Tangier
255,Kasbah Rose,633,Tangier
256,Dar Bargach,400,Tangier
257,Hotel Muniria and TangerInn,256,Tangier
258,Dar Souran,None,Tangier
259,Mamora Bay,437,Tangier
260,Motel Gzenaya,464,Tangier
261,Hotel Charf,None,Tangier
262,Apartment Borj Rayhane,800,Tangier
263,Hotel-Apartment Nezha,None,Tangier
264,Tangiers Hostel,415,Tangier
265,Hôtel de Paris,None,Tangier
266,Pension Miami,None,Tangier
267,Residence Atlantic Magna,None,Tangier
268,Pension Safari,198,Tangier
269,Diafa,261,Tangier
270,Dar Essaki 1886,462,Tangier
271,The Riad Hostel Tangier,230,Tangier
272,Dar Sultan,None,Tangier
273,Kasba Blanca,830,Tangier
274,Villa Borasol,562,Tangier
275,Hôtel L'île Verte,None,Tangier
276,Hotel Marrakech,None,Tangier
277,Hôtel Miranda,885,Tangier
278,Dar Syra,None,Tangier
279,Maison d'hôtes TANJITAN hospitalité,464,Tangier
280,Le Balcon de Tanger,None,Tangier
281,La Maison Blanche,None,Tangier
282,Dar Slama,1171,Tangier
283,Dar Nakhla Naciria,500,Tangier
284,SOOFSTAY,None,Tangier
285,Tanger Chez Habitant,612,Tangier
286,Dar El Hayet,None,Tangier
287,Saba's House - Riad Dar Saba,2495,Tangier
288,Le Tanger by M'nar Palm,None,Tangier
289,Bab el Fen,None,Tangier
290,Newcenter Suites,None,Tangier
291,Malak Tingis,None,Tangier
292,Dar Sami,None,Tangier
293,Hajrienne Guesthouse,459,Tangier
294,Albarnous Maison d'Hôtes,None,Tangier
295,Riad La Giralda,None,Tangier
296,Apparthotel monaco,513,Tangier
297,Hôtel Miramar Beach Tanger,513,Tangier
298,Dar Tinjâa,904,Tangier
299,Hôtel Bristol,None,Tangier
300,Hostel Touahine,257,Tangier
301,La Villa BlueOcean,1275,Tangier
302,Pension Palace,None,Tangier
303,Tanger App Hotel,833,Tangier
304,Iris plage,None,Tangier
305,Maison Hassani,None,Tangier
306,Chez Francis,None,Tangier
307,Motel Gzenaya,None,Tangier
308,Dar L'alhambra,1201,Tangier
309,Sophia's villa cap spartel,2960,Tangier
310,Hotel Victoria,None,Tangier
311,La Di Dar,None,Tangier
312,Fairmont Tazi Palace Tangier,None,Tangier
313,Hotel Palace,None,Tangier
314,Saramica Seaside apartment,None,Tangier
315,Hotel Oulid,None,Tangier
316,Hotel Olid,None,Tangier
